,Unnamed: 0,accepted,author,kingdom,Family,name,rank,powo_Snippet,Source,fqId
0,1,True,(Miers) I.M.Johnst.,Plantae,Boraginaceae,Heliotropium sinuatum,Species, <b>Use</b>:  sinuatum have shown to have <em>antibacterial</em> (Modak et al. 2004b,POWO pages(/taxon/urn:lsid:ipni.org:names:119886-2),urn:lsid:ipni.org:names:119886-2
1,2,True,(Ruiz & Pav.) D.Don,Plantae,Solanaceae,Brugmansia sanguinea,Species, <b>Use</b>:  as psychoactive <em>drugs</em> (Florez-Cárdenas et al. 2010).,POWO pages(/taxon/urn:lsid:ipni.org:names:814612-1),urn:lsid:ipni.org:names:814612-1
2,3,True,Gaertn.,Plantae,Apiaceae,Visnaga daucoides,Species," <b>Use</b>:  are the main source of the <em>drug</em> Khellin, their medicinal properties",POWO pages(/taxon/urn:lsid:ipni.org:names:849956-1),urn:lsid:ipni.org:names:849956-1
3,4,True,Chiov.,Plantae,Vitaceae,Cissus aphylla,Species, <b>Use</b>: The plant is used in Somalia to <em>cure</em> scabies.,POWO pages(/taxon/urn:lsid:ipni.org:names:869770-1),urn:lsid:ipni.org:names:869770-1
4,5,True,Brenan,Plantae,Malvaceae,Mansonia diatomanthera,Species, <b>Use</b>: Bathing in an infusion of the bark is reputed to be a <em>cure</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:824300-1),urn:lsid:ipni.org:names:824300-1
5,6,True,Cheek & Onana,Plantae,Rutaceae,Vepris occidentalis,Species," <b>Use</b>: Chewsticks, bark bitter, chewed to <em>cure</em> cough",POWO pages(/taxon/urn:lsid:ipni.org:names:77197425-1),urn:lsid:ipni.org:names:77197425-1
6,7,True,Maxim.,Plantae,Lamiaceae,Callicarpa caudata,Species, <b>Use</b>:  or dried leaves is used as a <em>cure</em> for stomach trouble.,POWO pages(/taxon/urn:lsid:ipni.org:names:861284-1),urn:lsid:ipni.org:names:861284-1
7,8,True,L.,Plantae,Lamiaceae,Ocimum tenuiflorum,Species, <b>Use</b>: This species is used as medicine to <em>cure</em> asthma in Cambodia,POWO pages(/taxon/urn:lsid:ipni.org:names:453130-1),urn:lsid:ipni.org:names:453130-1
8,9,True,(Benth.) H.E.Ireland,Plantae,Fabaceae,Trischidium alternum,Species," <b>Use</b>: , as a <em>cure</em> for 'ground itch'. The wood is used for fuel (Pará, Brazil).",POWO pages(/taxon/urn:lsid:ipni.org:names:77080290-1),urn:lsid:ipni.org:names:77080290-1
9,10,True,A.Juss.,Plantae,Lamiaceae,Vitex parviflora,Species, <b>Use</b>:  and drunk as a <em>cure</em> for indigestion (Frake 445).,POWO pages(/taxon/urn:lsid:ipni.org:names:865916-1),urn:lsid:ipni.org:names:865916-1
10,11,True,(D.Don) Kudô,Plantae,Lamiaceae,Isodon ternifolius,Species, <b>Use</b>:  and ablutions. Water from the boiled rootstock is drunk as a <em>cure</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:448620-1),urn:lsid:ipni.org:names:448620-1
11,12,True,(Engl.) Hartl,Plantae,Scrophulariaceae,Rhabdotosperma brevipedicellata,Species, <b>Use</b>:  with water are used to prevent (<em>cure</em>) kwashiorkor and fresh leaves,POWO pages(/taxon/urn:lsid:ipni.org:names:808655-1),urn:lsid:ipni.org:names:808655-1
12,13,True,L.,Plantae,Colchicaceae,Gloriosa superba,Species, <b>Use</b>: Used as a <em>cure</em> against snake-bites.,POWO pages(/taxon/urn:lsid:ipni.org:names:535953-1),urn:lsid:ipni.org:names:535953-1
13,14,True,Benth.,Plantae,Fabaceae,Platymiscium trifoliolatum,Species, <b>Use</b>: A solution is made from the leaves that is used to <em>cure</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:515252-1),urn:lsid:ipni.org:names:515252-1
14,15,True,L.,Plantae,Lamiaceae,Premna serratifolia,Species, <b>Use</b>:  is used as a <em>cure</em> for stomach-ache and diarrhoea. Philippines,POWO pages(/taxon/urn:lsid:ipni.org:names:864424-1),urn:lsid:ipni.org:names:864424-1
15,16,True,(T.Anderson) Garcke,Plantae,Malvaceae,Cienfuegosia welshii,Species, <b>Use</b>: Crushed leaves of C. welshii are used for <em>healing</em> wounds.,POWO pages(/taxon/urn:lsid:ipni.org:names:559356-1),urn:lsid:ipni.org:names:559356-1
16,17,True,Griff.,Plantae,Arecaceae,Calamus rheedei,Species, <b>Use</b>: It is reported that powdered dried seeds have a <em>healing</em>,POWO pages(/taxon/urn:lsid:ipni.org:names:665377-1),urn:lsid:ipni.org:names:665377-1
17,18,True,L.,Plantae,Papaveraceae,Bocconia frutescens,Species, <b>Use</b>: Exudates - Used in poultices for <em>healing</em> (Florez-Cárdenas,POWO pages(/taxon/urn:lsid:ipni.org:names:316358-2),urn:lsid:ipni.org:names:316358-2
18,19,True,Wilkin,Plantae,Dioscoreaceae,Dioscorea strydomiana,Species, <b>Use</b>:  such as arthritis or to promote <em>healing</em>. Both D. elephantipes and D,POWO pages(/taxon/urn:lsid:ipni.org:names:77107546-1),urn:lsid:ipni.org:names:77107546-1
19,20,True,L.,Plantae,Fabaceae,Vicia faba,Species, <b>Use</b>: Leaves - Used to promote <em>healing</em> (Lagos-López 2007).,POWO pages(/taxon/urn:lsid:ipni.org:names:524737-1),urn:lsid:ipni.org:names:524737-1
20,21,True,Planch. & Triana,Plantae,Clusiaceae,Clusia alata,Species, <b>Use</b>: Exudates - Used to promote <em>healing</em> (Morales-Puentes et al,POWO pages(/taxon/urn:lsid:ipni.org:names:427426-1),urn:lsid:ipni.org:names:427426-1
21,22,True,Willd.,Plantae,Bixaceae,Bixa urucurana,Species, <b>Use</b>: Leaves - Used to promote <em>healing</em> (Carvajal et al. 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:111504-1),urn:lsid:ipni.org:names:111504-1
22,23,True,L.,Plantae,Plantaginaceae,Plantago major,Species, <b>Use</b>: Leaves - Used in poultices to promote <em>healing</em> (Lagos-López,POWO pages(/taxon/urn:lsid:ipni.org:names:321286-2),urn:lsid:ipni.org:names:321286-2
