"X","Unnamed..0","accepted","author","kingdom","Family","name","rank","powo_Snippet","Source","fqId","Accepted_Name","Accepted_ID","Accepted_Rank","Accepted_Species","Accepted_Species_ID"
0,1,"True","(Miers) I.M.Johnst.","Plantae","Boraginaceae","Heliotropium sinuatum","Species"," <b>Use</b>:  sinuatum have shown to have <em>antibacterial</em> (Modak et al. 2004b","POWO pages(/taxon/urn:lsid:ipni.org:names:119886-2)","urn:lsid:ipni.org:names:119886-2","Heliotropium sinuatum","119886-2","Species","Heliotropium sinuatum","119886-2"
1,2,"True","(Ruiz & Pav.) D.Don","Plantae","Solanaceae","Brugmansia sanguinea","Species"," <b>Use</b>:  as psychoactive <em>drugs</em> (Florez-Cárdenas et al. 2010).","POWO pages(/taxon/urn:lsid:ipni.org:names:814612-1)","urn:lsid:ipni.org:names:814612-1","Brugmansia sanguinea","814612-1","Species","Brugmansia sanguinea","814612-1"
2,3,"True","Gaertn.","Plantae","Apiaceae","Visnaga daucoides","Species"," <b>Use</b>:  are the main source of the <em>drug</em> Khellin, their medicinal properties","POWO pages(/taxon/urn:lsid:ipni.org:names:849956-1)","urn:lsid:ipni.org:names:849956-1","Visnaga daucoides","849956-1","Species","Visnaga daucoides","849956-1"
3,4,"True","Chiov.","Plantae","Vitaceae","Cissus aphylla","Species"," <b>Use</b>: The plant is used in Somalia to <em>cure</em> scabies.","POWO pages(/taxon/urn:lsid:ipni.org:names:869770-1)","urn:lsid:ipni.org:names:869770-1","Cissus aphylla","869770-1","Species","Cissus aphylla","869770-1"
4,5,"True","Brenan","Plantae","Malvaceae","Mansonia diatomanthera","Species"," <b>Use</b>: Bathing in an infusion of the bark is reputed to be a <em>cure</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:824300-1)","urn:lsid:ipni.org:names:824300-1","Mansonia diatomanthera","824300-1","Species","Mansonia diatomanthera","824300-1"
5,6,"True","Cheek & Onana","Plantae","Rutaceae","Vepris occidentalis","Species"," <b>Use</b>: Chewsticks, bark bitter, chewed to <em>cure</em> cough","POWO pages(/taxon/urn:lsid:ipni.org:names:77197425-1)","urn:lsid:ipni.org:names:77197425-1",NA,NA,NA,NA,NA
6,7,"True","Maxim.","Plantae","Lamiaceae","Callicarpa caudata","Species"," <b>Use</b>:  or dried leaves is used as a <em>cure</em> for stomach trouble.","POWO pages(/taxon/urn:lsid:ipni.org:names:861284-1)","urn:lsid:ipni.org:names:861284-1","Callicarpa caudata","861284-1","Species","Callicarpa caudata","861284-1"
7,8,"True","L.","Plantae","Lamiaceae","Ocimum tenuiflorum","Species"," <b>Use</b>: This species is used as medicine to <em>cure</em> asthma in Cambodia","POWO pages(/taxon/urn:lsid:ipni.org:names:453130-1)","urn:lsid:ipni.org:names:453130-1","Ocimum tenuiflorum","453130-1","Species","Ocimum tenuiflorum","453130-1"
8,9,"True","(Benth.) H.E.Ireland","Plantae","Fabaceae","Trischidium alternum","Species"," <b>Use</b>: , as a <em>cure</em> for 'ground itch'. The wood is used for fuel (Pará, Brazil).","POWO pages(/taxon/urn:lsid:ipni.org:names:77080290-1)","urn:lsid:ipni.org:names:77080290-1","Trischidium alternum","77080290-1","Species","Trischidium alternum","77080290-1"
9,10,"True","A.Juss.","Plantae","Lamiaceae","Vitex parviflora","Species"," <b>Use</b>:  and drunk as a <em>cure</em> for indigestion (Frake 445).","POWO pages(/taxon/urn:lsid:ipni.org:names:865916-1)","urn:lsid:ipni.org:names:865916-1","Vitex parviflora","865916-1","Species","Vitex parviflora","865916-1"
10,11,"True","(D.Don) Kudô","Plantae","Lamiaceae","Isodon ternifolius","Species"," <b>Use</b>:  and ablutions. Water from the boiled rootstock is drunk as a <em>cure</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:448620-1)","urn:lsid:ipni.org:names:448620-1","Isodon ternifolius","448620-1","Species","Isodon ternifolius","448620-1"
11,12,"True","(Engl.) Hartl","Plantae","Scrophulariaceae","Rhabdotosperma brevipedicellata","Species"," <b>Use</b>:  with water are used to prevent (<em>cure</em>) kwashiorkor and fresh leaves","POWO pages(/taxon/urn:lsid:ipni.org:names:808655-1)","urn:lsid:ipni.org:names:808655-1","Rhabdotosperma brevipedicellata","808655-1","Species","Rhabdotosperma brevipedicellata","808655-1"
12,13,"True","L.","Plantae","Colchicaceae","Gloriosa superba","Species"," <b>Use</b>: Used as a <em>cure</em> against snake-bites.","POWO pages(/taxon/urn:lsid:ipni.org:names:535953-1)","urn:lsid:ipni.org:names:535953-1","Gloriosa superba","535953-1","Species","Gloriosa superba","535953-1"
13,14,"True","Benth.","Plantae","Fabaceae","Platymiscium trifoliolatum","Species"," <b>Use</b>: A solution is made from the leaves that is used to <em>cure</em>","POWO pages(/taxon/urn:lsid:ipni.org:names:515252-1)","urn:lsid:ipni.org:names:515252-1","Platymiscium trifoliolatum","515252-1","Species","Platymiscium trifoliolatum","515252-1"
14,15,"True","L.","Plantae","Lamiaceae","Premna serratifolia","Species"," <b>Use</b>:  is used as a <em>cure</em> for stomach-ache and diarrhoea. Philippines","POWO pages(/taxon/urn:lsid:ipni.org:names:864424-1)","urn:lsid:ipni.org:names:864424-1","Premna serratifolia","864424-1","Species","Premna serratifolia","864424-1"
