,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Sources
0,751291-1,Gardenia thunbergia,Gardenia thunbergia,751291-1,Species," <b>Use</b>: Ornamental, <em>medicinal</em>, as a raw material.",POWO pages(/taxon/urn:lsid:ipni.org:names:751291-1):MPNS (Gardenia thunbergia)
1,744444-1,Bertiera guianensis,Bertiera guianensis,744444-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:744444-1):
2,748737-1,Elaeagia utilis,Elaeagia utilis,748737-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:748737-1):
3,30107991-2,Gonzalagunia panamensis,Gonzalagunia panamensis,30107991-2,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:30107991-2):MPNS (Gonzalagunia panamensis)
4,77115588-1,Palicourea acuminata,Palicourea acuminata,77115588-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:77115588-1):MPNS (Palicourea acuminata)
5,181080-2,Palicourea lineariflora,Palicourea lineariflora,181080-2,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:181080-2):
6,77161818-1,Palicourea longirostris,Palicourea longirostris,77161818-1,Species, <b>Use</b>: <em>Medicinal</em> (Instituto Humboldt 2014).,POWO pages(/taxon/urn:lsid:ipni.org:names:77161818-1):
7,936959-1,Ramosmania rodriguesii,Ramosmania rodriguesii,936959-1,Species, <b>Use</b>: Locals on Rodrigues use it in a tea for <em>medicinal</em> uses.,POWO pages(/taxon/urn:lsid:ipni.org:names:936959-1):MPNS (Ramosmania rodriguesii)
8,17992-2,Arcytophyllum filiforme,Arcytophyllum filiforme,17992-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:17992-2):MPNS (Arcytophyllum filiforme)
9,90501-2,Emmeorhiza umbellata,Emmeorhiza umbellata,90501-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:90501-2):MPNS (Emmeorhiza umbellata)
10,749120-1,Faramea glandulosa,Faramea glandulosa,749120-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:749120-1):MPNS (Faramea glandulosa)
11,278892-2,Isertia laevis,Isertia laevis,278892-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:278892-2):MPNS (Isertia laevis)
12,134610-2,Ladenbergia muzonensis,Ladenbergia muzonensis,134610-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:134610-2):MPNS (Ladenbergia muzonensis)
13,770293-1,Warszewiczia coccinea,Warszewiczia coccinea,770293-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:770293-1):MPNS (Warszewiczia coccinea)
14,109024-2,Geophila repens,Geophila repens,109024-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:109024-2):MPNS (Geophila repens)
15,759300-1,Palicourea rigida,Palicourea rigida,759300-1,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:759300-1):MPNS (Palicourea rigida)
16,750229-1,Galium mexicanum,Galium mexicanum,750229-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:750229-1):MPNS (Galium mexicanum)
17,1215741-2,Ladenbergia macrocarpa,Ladenbergia macrocarpa,1215741-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:1215741-2):MPNS (Ladenbergia macrocarpa)
18,77202779-1,Palicourea boqueronensis,Palicourea boqueronensis,77202779-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:77202779-1):MPNS (Palicourea boqueronensis)
19,1106418-2,Ladenbergia oblongifolia,Ladenbergia oblongifolia,1106418-2,Species, <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016).,POWO pages(/taxon/urn:lsid:ipni.org:names:1106418-2):MPNS (Ladenbergia oblongifolia)
20,56535-2,Chiococca alba,Chiococca alba,56535-2,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:56535-2):MPNS (Chiococca alba)
21,750043-1,Galium hypocarpium,Galium hypocarpium,750043-1,Species," <b>Use</b>: <em>Medicinal</em> (State of the World's Plants 2016, Instituto",POWO pages(/taxon/urn:lsid:ipni.org:names:750043-1):MPNS (Galium hypocarpium)
